Date,Ad_name,Brand_Name,Languange,Funnel_Type,Convertions_Objective,Targeting_Type,Ads_Set,Format,Key_Message,Ads_Element,Amount_spent,Purchase_ZLP,Purchase_ZLF,SignUp,Landing_page_views,Link_clicks,Impressions,Reach
4/15/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,img,THR,image B,10805,0,0,0,0,0,101,90
4/16/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,img,THR,image B,30318,0,0,0,6,5,262,227
4/17/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,img,THR,image B,40170,0,0,0,0,0,507,442
4/18/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,img,THR,image B,39342,0,0,0,3,4,437,396
4/19/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,img,THR,image B,31918,0,0,1,4,5,360,306
4/20/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,img,THR,image B,105922,0,0,0,13,14,1792,1594
4/21/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,img,THR,image B,88765,0,0,0,12,12,1202,1082
4/22/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,img,THR,image B,2937,0,0,1,0,0,32,32
4/15/2023,Zurich ZLF_id_bf_wc_cl_Customer List and Sign Up_img_THR_image B_RevoU_14042023,Zurich ZLF,id,bf,wc,cl,Customer List and Sign Up,img,THR,image B,15476,0,0,0,0,1,97,80
4/16/2023,Zurich ZLF_id_bf_wc_cl_Customer List and Sign Up_img_THR_image B_RevoU_14042023,Zurich ZLF,id,bf,wc,cl,Customer List and Sign Up,img,THR,image B,147845,0,0,0,6,7,710,379
4/17/2023,Zurich ZLF_id_bf_wc_cl_Customer List and Sign Up_img_THR_image B_RevoU_14042023,Zurich ZLF,id,bf,wc,cl,Customer List and Sign Up,img,THR,image B,179585,0,0,0,6,7,1166,629
4/18/2023,Zurich ZLF_id_bf_wc_cl_Customer List and Sign Up_img_THR_image B_RevoU_14042023,Zurich ZLF,id,bf,wc,cl,Customer List and Sign Up,img,THR,image B,132581,0,0,1,6,6,931,539
4/19/2023,Zurich ZLF_id_bf_wc_cl_Customer List and Sign Up_img_THR_image B_RevoU_14042023,Zurich ZLF,id,bf,wc,cl,Customer List and Sign Up,img,THR,image B,162622,0,0,1,7,6,777,461
4/20/2023,Zurich ZLF_id_bf_wc_cl_Customer List and Sign Up_img_THR_image B_RevoU_14042023,Zurich ZLF,id,bf,wc,cl,Customer List and Sign Up,img,THR,image B,205013,0,0,1,10,12,1335,681
4/21/2023,Zurich ZLF_id_bf_wc_cl_Customer List and Sign Up_img_THR_image B_RevoU_14042023,Zurich ZLF,id,bf,wc,cl,Customer List and Sign Up,img,THR,image B,232283,0,0,0,7,7,1045,586
4/22/2023,Zurich ZLF_id_bf_wc_cl_Customer List and Sign Up_img_THR_image B_RevoU_14042023,Zurich ZLF,id,bf,wc,cl,Customer List and Sign Up,img,THR,image B,2484,0,0,0,0,0,35,31
4/25/2023,Zurich ZLF_id_bf_wc_cl_Customer List and Sign Up_img_THR_image B_RevoU_14042023,Zurich ZLF,id,bf,wc,cl,Customer List and Sign Up,img,THR,image B,0,0,0,0,0,0,0,0
4/15/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,vid,Musibah,video ramadhan,3308,0,0,0,0,0,64,55
4/16/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,vid,Musibah,video ramadhan,12792,0,0,0,2,2,136,93
4/17/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,vid,Musibah,video ramadhan,28813,0,0,0,0,0,167,139
4/18/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,vid,Musibah,video ramadhan,14833,0,0,1,2,3,149,125
4/19/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,vid,Musibah,video ramadhan,9272,0,0,0,0,0,140,114
4/20/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,vid,Musibah,video ramadhan,3810,0,0,0,0,0,88,80
4/21/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,vid,Musibah,video ramadhan,6518,0,0,0,0,0,80,72
4/22/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,vid,Musibah,video ramadhan,108,0,0,0,0,0,9,9
4/14/2023,Zurich ZLF_id_mf_wc_bd_Broad IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,mf,wc,bd,Broad IG,vid,Musibah,video ramadhan,2543,0,0,0,0,0,30,30
4/15/2023,Zurich ZLF_id_mf_wc_bd_Broad IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,mf,wc,bd,Broad IG,vid,Musibah,video ramadhan,6663,0,0,0,0,0,87,85
4/16/2023,Zurich ZLF_id_mf_wc_bd_Broad IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,mf,wc,bd,Broad IG,vid,Musibah,video ramadhan,86,0,0,0,0,0,1,1
4/17/2023,Zurich ZLF_id_mf_wc_bd_Broad IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,mf,wc,bd,Broad IG,vid,Musibah,video ramadhan,1239,0,0,0,0,0,3,3
4/18/2023,Zurich ZLF_id_mf_wc_bd_Broad IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,mf,wc,bd,Broad IG,vid,Musibah,video ramadhan,319,0,0,0,0,0,2,2
4/19/2023,Zurich ZLF_id_mf_wc_bd_Broad IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,mf,wc,bd,Broad IG,vid,Musibah,video ramadhan,354,0,0,0,0,0,7,7
4/20/2023,Zurich ZLF_id_mf_wc_bd_Broad IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,mf,wc,bd,Broad IG,vid,Musibah,video ramadhan,2306,0,0,0,0,0,2,2
4/21/2023,Zurich ZLF_id_mf_wc_bd_Broad IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,mf,wc,bd,Broad IG,vid,Musibah,video ramadhan,36,0,0,0,0,0,2,1
4/14/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,vid,Musibah,video ramadhan,13548,0,0,0,1,2,303,284
4/15/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,vid,Musibah,video ramadhan,44374,0,0,0,2,3,1708,1566
4/16/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,vid,Musibah,video ramadhan,12930,0,0,0,0,0,133,115
4/17/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,vid,Musibah,video ramadhan,4592,0,0,0,0,0,128,115
4/18/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,vid,Musibah,video ramadhan,4354,0,0,0,0,0,210,176
4/19/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,vid,Musibah,video ramadhan,4605,0,0,0,0,0,88,77
4/20/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,vid,Musibah,video ramadhan,7121,0,0,0,0,0,121,108
4/21/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,vid,Musibah,video ramadhan,5212,0,0,1,0,0,73,67
